time,index,YZ,Trap,Measurements,Correction,,CorrectionLimit,CurrentR,CurrentL,ZReference,ZMeasured,Difference
10:44:17,91,Y Limit,left,1,1.40421,1.40421,-1.40421,158,191,0,0,33
10:44:17,93,Y Limit,right,1,1.40421,2.80842,-1.40421,155,191,0,0,36
10:44:17,95,Y,left,1,0.35,3.15842,0,155,162,0,0,7
10:44:18,96,Y,right,1,0.6,3.75842,0,150,162,0,0,12
10:44:18,98,Y,left,1,0.5,4.25842,0,150,160,0,0,10
10:44:18,100,Y,right,1,0.4,4.65842,0,152,160,0,0,8
10:44:18,102,Y,left,1,0.35,5.00842,0,152,159,0,0,7
10:44:19,104,Y,left,1,-0.7,4.30842,0,158,144,0,0,-14
10:44:19,105,Y,right,1,-0.45,3.85842,0,153,144,0,0,-9
10:44:19,107,Y,left,1,0.65,4.50842,0,153,166,0,0,13
10:44:19,108,Y,right,1,0.85,5.35842,0,149,166,0,0,17
10:44:20,110,Y,left,1,0.3,5.65842,0,149,155,0,0,6
10:44:20,112,Y,right,1,1.2,6.85842,0,131,155,0,0,24
10:44:20,114,Y,left,1,0.95,7.80842,0,131,150,0,0,19
10:44:20,115,Y,right,1,0.5,8.30842,0,140,150,0,0,10
10:44:21,120,Y,left,1,0.45,8.75842,0,141,150,0,0,9
10:44:22,126,Y,left,1,-0.45,8.30842,0,151,142,0,0,-9
10:44:23,127,Y,right,1,-0.5,7.80842,0,152,142,0,0,-10
10:44:24,131,Y,left,1,0.45,8.25842,0,152,161,0,0,9
10:44:25,136,Y,left,1,-0.45,7.80842,0,162,153,0,0,-9
10:44:26,138,Y,left,1,0.35,8.15842,0,157,164,0,0,7
10:44:26,139,Y,right,1,0.3,8.45842,0,158,164,0,0,6
10:44:27,143,Y,left,1,0.55,9.00842,0,152,163,0,0,11
10:44:27,144,Y,right,1,0.45,9.45842,0,154,163,0,0,9
10:44:29,149,Y,left,1,-0.3,9.15842,0,158,152,0,0,-6
10:44:29,150,Y,right,1,-0.55,8.60842,0,163,152,0,0,-11
10:44:29,152,Y,left,1,-0.45,8.15842,0,163,154,0,0,-9
10:44:30,155,Y,left,1,0.4,8.55842,0,159,167,0,0,8
10:44:30,158,Y,left,1,-0.65,7.90842,0,164,151,0,0,-13
10:44:30,160,Y,right,1,-0.8,7.10842,0,167,151,0,0,-16
10:44:31,163,Y,right,1,0.65,7.75842,0,159,172,0,0,13
10:44:31,164,Y,left,1,0.35,8.10842,0,159,166,0,0,7
10:44:31,166,Y,right,1,0.4,8.50842,0,158,166,0,0,8
10:44:33,174,Y,left,1,-0.5,8.00842,0,165,155,0,0,-10
,,,,,8.00842,,,,,,,
