time,index,YZ,Trap,Measurements,Correction,CorrectionLimit,CurrentR,CurrentL,ZReference,ZMeasured,Difference
11:05:23,1,Y,right,1,0.85,0,159,176,0,0,17
11:05:23,3,Y,left,1,-0.35,0,159,152,0,0,-7
11:05:23,5,Y,right,1,-0.7,0,166,152,0,0,-14
11:05:24,8,Y,left,1,0.75,0,162,177,0,0,15
11:05:24,10,Y,right,1,0.7,0,163,177,0,0,14
11:05:25,14,Y,left,1,0.4,0,162,170,0,0,8
11:05:25,16,Y,right,1,0.5,0,160,170,0,0,10
11:05:26,20,Y,right,1,-0.4,0,159,151,0,0,-8
11:05:26,22,Y,left,1,-0.3,0,159,153,0,0,-6
11:05:27,25,Y,right,1,-0.65,0,166,153,0,0,-13
11:05:27,27,Y,right,1,0.4,0,153,161,0,0,8
11:05:28,29,Y,left,1,0.85,0,153,170,0,0,17
11:05:28,31,Y,right,1,0.35,0,163,170,0,0,7
11:05:29,36,Y,left,1,0.3,0,159,165,0,0,6
11:05:29,39,Y,left,1,-0.3,0,169,163,0,0,-6
11:05:30,45,Y,left,1,-0.5,0,168,158,0,0,-10
11:05:31,48,Y,right,1,-0.3,0,160,154,0,0,-6
11:05:31,50,Y,left,1,0.4,0,160,168,0,0,8
11:05:32,51,Y,right,1,0.5,0,158,168,0,0,10
11:05:34,58,Y,right,1,-0.3,0,169,163,0,0,-6
11:05:34,60,Y,left,1,-0.3,0,169,163,0,0,-6
11:05:34,63,Y,left,1,-0.4,0,166,158,0,0,-8
11:05:35,65,Y,right,1,-0.75,0,173,158,0,0,-15
11:05:35,67,Y,left,1,-0.65,0,173,160,0,0,-13
11:05:35,69,Y,left,1,0.3,0,165,171,0,0,6
11:05:36,72,Y,left,1,-0.35,0,166,159,0,0,-7
11:05:36,76,Y,right,1,-0.6,0,171,159,0,0,-12
11:05:36,78,Y,left,1,-0.35,0,171,164,0,0,-7
11:05:37,81,Y,right,1,-0.3,0,173,167,0,0,-6
11:05:37,83,Y,right,1,-0.4,0,178,170,0,0,-8
11:05:38,84,Y,left,1,-0.5,0,178,168,0,0,-10
11:05:38,88,Y,right,1,-0.3,0,176,170,0,0,-6
11:05:39,89,Y,left,1,-0.55,0,176,165,0,0,-11
11:05:39,92,Y,right,1,-0.4,0,174,166,0,0,-8
11:05:40,94,Y,right,1,0.3,0,167,173,0,0,6
11:05:41,100,Y,right,1,-0.3,0,168,162,0,0,-6
11:05:42,102,Y,right,1,-0.35,0,174,167,0,0,-7
11:05:42,103,Y,left,1,-0.55,0,174,163,0,0,-11
11:05:42,105,Y,right,1,-0.45,0,172,163,0,0,-9
,,,,,,,,,,,
11:08:07,107,Y,left,1,0.6,0,172,184,0,0,12
11:08:07,109,Y,right,1,0.75,0,169,184,0,0,15
11:08:07,110,Y,left,1,1,0,169,189,0,0,20
11:08:08,111,Y,right,1,1.2,0,165,189,0,0,24
11:08:08,113,Y,left,1,-0.35,0,165,158,0,0,-7
11:08:10,115,Y,right,1,0.65,0,152,165,0,0,13
11:08:10,118,Y,right,1,0.55,0,146,157,0,0,11
11:08:11,120,Y,left,1,0.95,0,146,165,0,0,19
11:08:11,122,Y,right,1,1.15,0,142,165,0,0,23
11:08:12,124,Y,left,1,0.65,0,142,155,0,0,13
11:08:12,126,Y,left,1,0.7,0,150,164,0,0,14
11:08:13,128,Y,right,1,1.25,0,139,164,0,0,25
11:08:13,130,Y,left,1,0.7,0,139,153,0,0,14
11:08:14,132,Y,right,1,0.9,0,135,153,0,0,18
11:08:14,134,Y,left,1,0.9,0,135,153,0,0,18
11:08:15,136,Y,right,1,0.5,0,143,153,0,0,10
11:08:15,138,Y,left,1,0.3,0,143,149,0,0,6
11:08:15,140,Y,right,1,-0.45,0,158,149,0,0,-9
11:08:16,142,Y,left,1,-0.5,0,158,148,0,0,-10
11:08:20,151,Y,right,1,-0.5,0,158,148,0,0,-10
11:08:20,153,Y,left,1,-0.35,0,158,151,0,0,-7
11:08:20,155,Y,right,1,-0.4,0,159,151,0,0,-8
