time,index,YZ,Trap,Measurements,Correction,CorrectionLimit,CurrentR,CurrentL,ZReference,ZMeasured,Difference
11:23:28,,ActiveTrackdata
,,SeamName,,,weldTest
,,TrackType,,,Centerline
,,Gain_y,,,100
,,Gain_z,,,30
,,Bias,,,0
,,Z-Reference,,,0
,,WeaveTime,,,0.22
11:23:31,1,Y Limit,right,1,-2.55,-1.41421,163,112,0,0,-51
11:23:31,2,Y Limit,left,1,-6.95,-1.41421,163,24,0,0,-139
11:23:43,,ActiveTrackdata
,,SeamName,,,weldTest
,,TrackType,,,Centerline
,,Gain_y,,,100
,,Gain_z,,,30
,,Bias,,,0
,,Z-Reference,,,0
,,WeaveTime,,,0.22
11:23:45,2,Y Limit,right,1,-9,-1.41421,187,7,0,0,-180
11:23:45,4,Y Limit,left,1,-1.95,-1.41421,187,148,0,0,-39
11:23:45,6,Y,left,1,1.15,0,149,172,0,0,23
11:23:46,8,Y,right,1,0.6,0,160,172,0,0,12
11:23:46,9,Y,left,1,0.5,0,160,170,0,0,10
11:23:46,11,Y,right,1,0.55,0,159,170,0,0,11
11:23:47,13,Y,right,1,0.5,0,146,156,0,0,10
11:23:47,15,Y,left,1,0.4,0,146,154,0,0,8
11:23:47,17,Y,left,1,0.6,0,150,162,0,0,12
11:23:47,19,Y,right,1,0.6,0,150,162,0,0,12
11:23:49,24,Y,left,1,-0.35,0,154,147,0,0,-7
11:23:49,25,Y,right,1,-0.35,0,154,147,0,0,-7
11:23:50,28,Y,right,1,0.4,0,152,160,0,0,8
11:23:52,35,Y,right,1,-0.45,0,163,154,0,0,-9
11:23:52,37,Y,left,1,-0.4,0,163,155,0,0,-8
11:23:53,41,Y,right,1,0.3,0,157,163,0,0,6
11:23:53,43,Y,left,1,0.4,0,157,165,0,0,8
11:23:55,48,Y,right,1,0.35,0,158,165,0,0,7
11:23:57,54,Y,right,1,0.4,0,155,163,0,0,8
11:24:00,66,Y,left,1,0.5,0,158,168,0,0,10
11:24:00,,Accumulated
,,TotalY,,,-2.89157
,,TotalZ,,,-4.95
,,CalculatedZ,,,157.6667
,,NumberLeft,,,35
,,NumberRight,,,34
,,NumberCenter,,,69
11:24:38,,ActiveTrackdata
,,SeamName,,,weldTest
,,TrackType,,,Centerline
,,Gain_y,,,100
,,Gain_z,,,30
,,Bias,,,0
,,Z-Reference,,,0
,,WeaveTime,,,0.22
11:24:40,1,Y,left,1,0.95,0,158,177,0,0,19
11:24:40,3,Y,right,1,1.3,0,151,177,0,0,26
11:24:40,5,Y Limit,left,1,1.45,-1.40421,151,180,0,0,29
11:24:41,6,Y Limit,right,1,1.6,-1.40421,148,180,0,0,32
11:24:41,8,Y,left,1,1.05,0,148,169,0,0,21
11:24:41,10,Y Limit,right,1,1.45,-1.40421,140,169,0,0,29
11:24:41,12,Y,left,1,0.65,0,140,153,0,0,13
11:24:41,14,Y,right,1,1.25,0,128,153,0,0,25
11:24:42,16,Y Limit,left,1,1.6,-1.40421,128,160,0,0,32
11:24:42,18,Y,right,1,1.1,0,138,160,0,0,22
11:24:42,21,Y,right,1,0.6,0,127,139,0,0,12
11:24:43,23,Y,left,1,0.65,0,127,140,0,0,13
11:24:43,25,Y,right,1,0.35,0,133,140,0,0,7
11:24:43,27,Y,left,1,0.35,0,133,140,0,0,7
11:24:43,30,Y,left,1,0.8,0,135,151,0,0,16
11:24:44,32,Y,right,1,0.85,0,134,151,0,0,17
11:24:44,34,Y,left,1,0.3,0,134,140,0,0,6
11:24:45,38,Y,right,1,-0.3,0,141,135,0,0,-6
11:24:45,41,Y,right,1,-0.35,0,145,138,0,0,-7
11:24:45,43,Y,left,1,0.35,0,145,152,0,0,7
11:24:46,46,Y,left,1,-0.3,0,147,141,0,0,-6
11:24:46,48,Y,right,1,-0.55,0,152,141,0,0,-11
11:24:47,55,Y,left,1,0.3,0,150,156,0,0,6
11:24:49,58,Y,left,1,-0.3,0,156,150,0,0,-6
11:24:50,61,Y,left,1,-0.3,0,159,153,0,0,-6
11:24:51,64,Y,right,1,-0.35,0,160,153,0,0,-7
11:24:51,66,Y,left,1,-0.3,0,160,154,0,0,-6
11:24:52,72,Y,left,1,-0.3,0,160,154,0,0,-6
11:24:53,74,Y,right,1,-0.3,0,160,154,0,0,-6
11:24:53,77,Y,right,1,-0.45,0,162,153,0,0,-9
11:24:55,81,Y,left,1,0.35,0,159,166,0,0,7
11:24:55,83,Y,right,1,0.45,0,157,166,0,0,9
11:24:55,84,Y,left,1,0.55,0,157,168,0,0,11
11:24:56,85,Y,right,1,0.6,0,156,168,0,0,12
11:24:57,87,Y,left,1,-0.3,0,158,152,0,0,-6
11:24:57,88,Y,right,1,-0.75,0,167,152,0,0,-15
11:24:57,91,Y,right,1,0.3,0,157,163,0,0,6
11:24:57,,Accumulated
,,TotalY,,,-13.8669
,,TotalZ,,,-9.825
,,CalculatedZ,,,153.5063
,,NumberLeft,,,40
,,NumberRight,,,40
,,NumberCenter,,,79
