time,index,YZ,Trap,Measurements,Correction,CorrectionLimit,CurrentR,CurrentL,ZReference,ZMeasured,Difference
14:44:44,,ActiveTrackdata
,,SeamName,,,weldTest
,,TrackType,,,Centerline
,,Gain_y,,,100
,,Gain_z,,,30
,,Bias,,,0
,,Z-Reference,,,0
,,WeaveTime,,,0.22
14:44:47,1,Y Limit,right,5,2.65,-1.40421,139,192,0,0,53
14:44:47,2,Y Limit,left,5,1.9,-1.40421,139,177,0,0,38
14:44:47,4,Y Limit,right,5,1.45,-1.40421,148,177,0,0,29
14:44:47,6,Y Limit,left,5,2,-1.40421,148,188,0,0,40
14:44:47,7,Y Limit,right,5,3.35,-1.40421,121,188,0,0,67
14:44:48,9,Y Limit,left,5,2.35,-1.40421,121,168,0,0,47
14:44:48,10,Y Limit,right,5,1.45,-1.40421,139,168,0,0,29
14:44:48,12,Y Limit,left,5,1.45,-1.40421,139,168,0,0,29
14:44:48,14,Y Limit,right,5,2.15,-1.40421,125,168,0,0,43
14:44:49,15,Y,left,5,0.95,0,125,144,0,0,19
14:44:49,17,Y,right,5,-0.9,0,162,144,0,0,-18
14:44:49,19,Y,left,5,-0.9,0,162,144,0,0,-18
14:44:49,21,Y,right,5,-0.45,0,153,144,0,0,-9
14:44:49,23,Y,left,5,-0.3,0,153,147,0,0,-6
14:44:50,25,Y,right,5,-0.8,0,163,147,0,0,-16
14:44:50,27,Y,left,5,-0.85,0,163,146,0,0,-17
14:44:50,29,Y,right,5,-0.75,0,161,146,0,0,-15
14:44:51,30,Y Limit,right,5,1.45,-1.40421,129,158,0,0,29
14:44:51,31,Y,left,5,0.85,0,129,146,0,0,17
14:44:51,33,Y,right,5,-0.35,0,153,146,0,0,-7
14:44:52,37,Y,right,5,1.15,0,133,156,0,0,23
14:44:52,39,Y,left,5,1.05,0,133,154,0,0,21
14:44:54,44,Y,right,5,-1.05,0,175,154,0,0,-21
14:44:54,45,Y,left,5,-0.5,0,175,165,0,0,-10
14:44:54,47,Y,left,5,-0.4,0,161,153,0,0,-8
14:44:56,52,Y,right,5,-0.45,0,158,149,0,0,-9
14:44:57,53,Y,left,5,0.3,0,160,166,0,0,6
14:44:57,55,Y,left,5,-0.4,0,161,153,0,0,-8
14:44:57,57,Y,right,5,0.5,0,143,153,0,0,10
14:44:57,58,Y,left,5,0.45,0,143,152,0,0,9
14:44:58,60,Y,left,5,0.75,0,150,165,0,0,15
14:44:58,61,Y,right,5,0.5,0,155,165,0,0,10
14:44:58,62,Y,left,5,1.2,0,155,179,0,0,24
14:44:58,64,Y,right,5,1.15,0,156,179,0,0,23
14:44:59,65,Y,left,5,0.5,0,156,166,0,0,10
14:44:59,67,Y,right,5,0.8,0,150,166,0,0,16
14:44:59,69,Y Limit,left,5,-1.8,-1.41421,150,114,0,0,-36
14:44:59,71,Y Limit,right,5,-1.6,-1.41421,146,114,0,0,-32
14:45:00,74,Y,right,5,0.8,0,134,150,0,0,16
14:45:00,76,Y,left,5,0.7,0,134,148,0,0,14
14:45:00,79,Y,left,5,0.65,0,147,160,0,0,13
14:45:01,80,Y,right,5,0.3,0,154,160,0,0,6
14:45:01,81,Y,left,5,-0.35,0,154,147,0,0,-7
14:45:02,,Accumulated
,,TotalY,,,-15.3837
,,TotalZ,,,-6.591
,,CalculatedZ,,,155.087
,,NumberLeft,,,36
,,NumberRight,,,35
,,NumberCenter,,,69
14:50:05,,ActiveTrackdata
,,SeamName,,,weldTest
,,TrackType,,,Centerline
,,Gain_y,,,100
,,Gain_z,,,30
,,Bias,,,0
,,Z-Reference,,,0
,,WeaveTime,,,0.22
14:50:07,2,Y Limit,left,5,5.45,-1.40421,86,195,0,0,109
14:50:07,4,Y Limit,right,5,2.4,-1.40421,147,195,0,0,48
14:50:08,6,Y Limit,left,5,1.8,-1.40421,147,183,0,0,36
14:50:08,8,Y Limit,right,5,1.6,-1.40421,151,183,0,0,32
14:50:08,10,Y,left,5,-0.65,0,151,138,0,0,-13
14:50:08,13,Y,left,5,0.8,0,143,159,0,0,16
14:50:09,14,Y Limit,right,5,1.65,-1.40421,126,159,0,0,33
14:50:09,15,Y Limit,left,5,2,-1.40421,126,166,0,0,40
14:50:09,17,Y Limit,right,5,2.05,-1.40421,125,166,0,0,41
14:50:09,19,Y Limit,left,5,1.45,-1.40421,125,154,0,0,29
14:50:10,21,Y,right,5,1.15,0,131,154,0,0,23
14:50:10,23,Y,left,5,-0.65,0,131,118,0,0,-13
14:50:10,25,Y,right,5,-0.95,0,137,118,0,0,-19
14:50:10,28,Y,right,5,0.3,0,131,137,0,0,6
14:50:11,30,Y,left,5,0.3,0,131,137,0,0,6
14:50:11,33,Y,right,5,-0.35,0,145,138,0,0,-7
14:50:12,35,Y,left,5,-0.75,0,145,130,0,0,-15
14:50:12,37,Y,right,5,-1.15,0,153,130,0,0,-23
14:50:12,38,Y,left,5,-0.6,0,153,141,0,0,-12
14:50:12,41,Y,left,5,0.4,0,138,146,0,0,8
14:50:14,46,Y,left,5,0.35,0,144,151,0,0,7
14:50:14,47,Y,right,5,0.4,0,143,151,0,0,8
14:50:14,49,Y,left,5,0.35,0,143,150,0,0,7
14:50:15,51,Y,left,5,0.3,0,147,153,0,0,6
14:50:15,54,Y,left,5,0.5,0,149,159,0,0,10
14:50:16,57,Y,left,5,0.5,0,152,162,0,0,10
14:50:17,60,Y,right,5,0.4,0,150,158,0,0,8
14:50:17,62,Y,left,5,0.85,0,150,167,0,0,17
14:50:18,65,Y,right,5,0.65,0,154,167,0,0,13
14:50:18,67,Y,left,5,0.3,0,154,160,0,0,6
14:50:18,68,Y,right,5,-0.35,0,167,160,0,0,-7
14:50:19,69,Y,left,5,-0.35,0,167,160,0,0,-7
14:50:19,71,Y,right,5,0.3,0,154,160,0,0,6
14:50:19,,Accumulated
,,TotalY,,,-13.2837
,,TotalZ,,,-8.355
,,CalculatedZ,,,151.1964
,,NumberLeft,,,29
,,NumberRight,,,28
,,NumberCenter,,,56
14:53:57,,ActiveTrackdata
,,SeamName,,,weldTest
,,TrackType,,,Centerline
,,Gain_y,,,100
,,Gain_z,,,30
,,Bias,,,0
,,Z-Reference,,,0
,,WeaveTime,,,0.22
14:54:06,,ActiveTrackdata
,,SeamName,,,weldTest
,,TrackType,,,Centerline
,,Gain_y,,,100
,,Gain_z,,,30
,,Bias,,,0
,,Z-Reference,,,0
,,WeaveTime,,,0.22
14:56:21,,ActiveTrackdata
,,SeamName,,,weldTest
,,TrackType,,,Centerline
,,Gain_y,,,100
,,Gain_z,,,30
,,Bias,,,0
,,Z-Reference,,,0
,,WeaveTime,,,0.22
14:56:23,1,Y Limit,left,5,2.1,-1.40421,154,196,0,0,42
14:56:23,3,Y Limit,right,5,2.85,-1.40421,139,196,0,0,57
14:56:24,5,Y,right,5,-1.4,0,171,143,0,0,-28
14:56:24,7,Y Limit,left,5,-1.55,-1.41421,171,140,0,0,-31
14:56:24,9,Y,right,5,-0.8,0,156,140,0,0,-16
14:56:25,11,Y,left,5,-0.5,0,156,146,0,0,-10
14:56:25,15,Y,left,5,0.95,0,146,165,0,0,19
14:56:26,17,Y,right,5,0.65,0,152,165,0,0,13
14:56:26,21,Y,left,5,0.38,0,152,160,0,0,7
14:56:27,22,Y,right,5,0.4,0,152,160,0,0,8
14:56:27,27,Y,right,5,0.6,0,138,150,0,0,12
14:56:28,29,Y,left,5,0.7,0,138,152,0,0,14
14:56:29,34,Y,left,5,0.35,0,150,157,0,0,7
14:56:29,36,Y,right,5,0.35,0,150,157,0,0,7
14:56:31,40,Y,left,5,0.35,0,150,157,0,0,7
14:56:31,42,Y,right,5,0.45,0,148,157,0,0,9
14:56:31,44,Y,left,5,0.4,0,148,156,0,0,8
14:56:31,46,Y,right,5,0.5,0,146,156,0,0,10
14:56:32,48,Y,left,5,0.35,0,146,153,0,0,7
14:56:34,59,Y,left,5,0.3,0,151,157,0,0,6
14:56:34,61,Y,right,5,0.9,0,139,157,0,0,18
14:56:34,63,Y,left,5,0.6,0,139,151,0,0,12
14:56:35,66,Y,left,5,0.3,0,151,157,0,0,6
14:56:35,68,Y,right,5,0.3,0,151,157,0,0,6
14:56:36,70,Y,left,5,0.3,0,148,154,0,0,6
14:56:36,72,Y,right,5,-0.35,0,161,154,0,0,-7
14:56:36,73,Y,left,5,-0.8,0,161,145,0,0,-16
14:56:37,76,Y,left,5,0.75,0,144,159,0,0,15
14:56:37,77,Y,right,5,0.3,0,153,159,0,0,6
14:56:37,79,Y,right,5,-0.75,0,168,153,0,0,-15
14:56:37,80,Y,left,5,-0.8,0,168,152,0,0,-16
14:56:39,86,Y,right,5,0.35,0,151,158,0,0,7
14:56:40,90,Y,left,5,0.3,0,150,156,0,0,6
14:56:40,92,Y,right,5,0.45,0,147,156,0,0,9
14:56:41,94,Y,left,5,0.35,0,147,154,0,0,7
14:56:41,97,Y,right,5,0.9,0,138,156,0,0,18
14:56:41,99,Y,left,5,0.73,0,138,152,0,0,14
14:56:42,101,Y,left,5,-0.4,0,153,145,0,0,-8
14:56:42,103,Y,left,5,0.55,0,143,154,0,0,11
14:56:44,109,Y,right,5,0.4,0,147,155,0,0,8
14:56:44,111,Y,left,5,0.45,0,147,156,0,0,9
14:56:44,112,Y,right,5,0.3,0,150,156,0,0,6
14:56:46,118,Y,right,5,0.35,0,148,155,0,0,7
14:56:46,119,Y,left,5,0.8,0,148,164,0,0,16
14:56:46,121,Y,right,5,0.4,0,156,164,0,0,8
14:56:47,123,Y,right,5,0.65,0,148,161,0,0,13
14:56:47,124,Y,left,5,0.7,0,148,162,0,0,14
14:56:47,126,Y,right,5,0.8,0,146,162,0,0,16
14:56:48,129,Y,left,5,-0.4,0,151,143,0,0,-8
14:56:48,132,Y,left,5,0.35,0,143,150,0,0,7
14:56:48,134,Y,right,5,-1.1,0,172,150,0,0,-22
14:56:49,137,Y,right,5,0.65,0,154,167,0,0,13
